യുണൈറ്റഡിന്	For United
തുടര്‍ച്ചയായ	Continuous
നില്‍ക്കുന്നത്	Standing
എന്നിട്ടും	And yet
ചെയ്യുന്നതില്‍	In doing
വിജയത്തിന്	To win
റെയ്‌നയുടെ	Raina's
നവ്യ	Navya
വാച്ച്‌മാന്‍	Watchman
താരമായി	As a star
ദേശ്	Desh
കോഹ്‌ലിക്കും	And Kohli
ഒതുങ്ങാതെ	Not confined
ഉ​ച്ച​കോ​ടി	Summit
വീ​ടു​ക​ളി​ല്‍	in the houses.
ഏ​ഷ്യ	Asia
സോങ്‌	Song
ഡുമിനിയും	Duminy and
ശ്രീശാന്തിനെതിരായ	Against Sreesanth
ആപ്പുമായി	with the app
തോല്‍വി	Defeat
ലോക്സഭയിലെ	In the Lok Sabha
ഇന്‍ഫോപാര്‍ക്കില്‍	In infopark
തരും	Will give
കുട്ടിമാമയുടെ	The child's
ഹര്‍ദിക്ക്	Hardik
പ്രിയങ്കയ്ക്ക്	For Priyanka
കടുത്ത	Tough
ഒപ്റ്റിക്കല്‍	Optical
ഇന്റീരിയര്‍	Interior
നിധി	Treasure
പിടിക്കാനാവാത്ത	Unable to hold
പേളി	Pearle
മാധവന്‍	Madhavan
ശുഭാങ്കര്‍	Shubhankar
ഓസ്‌ട്രേലിയക്കെതിരെ	Against Australia
വാ​ട്സ്	Watts
സാധ്യതയും	and the possibility
ഇതിഹാസമായി	as a legend
ഏറ്റുവാങ്ങി	Received
സ്വിച്ച്‌	Switch
തീവ്രവാദി	Terrorist
സ്വീകരിക്കുമ്ബോള്‍	When accepted
മുന്നറിയിപ്പമായി	As a warning
രാജാജി	Rajaji
മാര്‍ജിന്‍	Margin
ബൈജു	Baiju
നേരെ	Straight
മറുപടി	Reply
നായകനെതിരെ	Against the hero
ഗ്രാമവാസീസ്	Villagers
റിട്ടയര്‍	Retired
ട്വന്‍ി20	Twenty20
പങ്ക	Share
വെട്ടിലാക്കാനുള്ള	Cuts out
വര്‍ത്തമാനത്തിലെ	in the present
സ്വത്തുക്കളുടെ	of the assets
സച്ചിനേക്കാളും	More than Sachin.
ഗൗതം	Gautham
പോകുന്നത്	Going away
വിമാനക്കമ്ബനികള്‍	Airlines
രാവുകള്‍	The nights
അതു	It's
പ്ലാനുകളോട്	To the plans
വിജയാഘോഷം	Victory celebration
കേക്ക്	cake
ഓടിയ	Run away
മല്യ	Mallya
അട്ടിമറിജയം	Coup victory
തലമുറ	Generation
ഡാറ്റകളെല്ലാം	All data
സീസണിലേക്കുള്ള	For the season
സ്റ്റില്‍	Still
മുന്‍നിരയിലെ	In the front row
ആര്	Who
നിലത്തിറക്കിയത്	Brought down to the ground
എണ്ണ	oil
സഹോദരിയെ	my sister.
ക്ലോപ്പിനെ	Klopp
സമ്ബന്നര്‍	Sambanar
പ്രതീക്ഷിച്ചതിലും	More than expected
ലൈനുകള്‍	Lines
കളിയല്ല	No kidding
മോഹത്തിന്	For desire
വനിതകള്‍ക്ക്തോ	For women,
ഇന്ദ്രജിത്തിനും	And Indrajith
ഒ​ബ്റോ​ണ്‍	Oberon
കാണികളും	and viewers
വീട്	House
സെന്‍സെക്‌സിനും	And the Sensex
കാത്തുനിന്നില്ല	I didn't wait.
മഹര്‍ഷി	Maharshi
പിന്നാല	Behind the scenes
കളിയാക്കുന്നവര്‍ക്കെതിരെ	Against those who make fun of them
പാസ്	Pass
കാ​ര്‍	car
ഗണപതിയുടെ	Of Ganapati
പൃഥ്വിരാജിനോട്	To Prithviraj
പേയ്‌മെന്റ്	Payment
ജാമ്യമില്ല	No bail
ഓണര്‍	Honor
അര്‍ധസെഞ്ച്വറി	Half-century
അംബാനിയുമായി	with Ambani
പോക്കേ	Go away.
പറഞ്ഞതിങ്ങനെ	That's what i said
ബിജെപി	BJP
കിലോമീറ്ററിന്	per kilometer
ക​ര​ക്ക​ടി​ഞ്ഞു	Washed ashore
കിയാരയും	And Kiara
പൊടിപാറും	The dust
ലൈറ്റ്	Light
ബിജെപിയിലേക്ക്	Joining THE BJP
രാഷ്ട്രീയത്തേക്കാള്‍	More than politics.
നല്‍കിയ	Given
മസാജ്	Massage
അനൂപ്	Anoop
ജിഎസ്ടിയില്‍	In GST
തിരികെക്കയറി	Came back
തൂത്തുവാരും	Will be swept away
വേദിയിലെ	on stage
കോച്ചിനെ	The coach
കുലുക്കം	Shaking
ശതമാനമാക്കി	Percentized
പൊരിഞ്ഞ	Roasted
കളിപ്പിച്ചത്	Played
ഋഷഭിന്	Rishabh
നിര്‍വഹിക്കും	Will be executed
സെബിബ്രിറ്റി	Sebibrity
വാദം	The argument
ഇ	E
പ്രതാപത്തിലേക്ക്	to glory
എ​​​ക്സ്പോ	Expo
ട്യൂബുകളും	and tubes
ഇന്ത്യയുണ്ടാകുമോ	Will there be An India?
നിക്ഷേപകര്‍ക്ക്	For investors
ഒപ്പം	and
കഥയോ	The story
കേന്ദ്രസര്‍ക്കാരിന്	To the Central Government
ബാഴ്‌സയും	and Barca.
പകലാക്കാന്‍	To make the day
ഇന്‍ഡിഗോയും	IndiGo and
മുതലാക്കാന്‍	To capitalize on
ഗോകുലത്തിന്	For Gokulam
നോര്‍ക്ക	Norka
രാജേഷ്	Rajesh
തീര്‍ത്ത്	Finished
ബെ​ഞ്ചും	And the bench
എവിടെയും	Anywhere.
പദ്ധതിയുമായി	with the project
തിരിച്ചുവരവ്	Coming back
ടെ​​​​ലി​​​​കോം	Telecom
ലിങ്ക്	Link
വിഷമം	Sadness
ആളിക്കത്തിച്ച്‌	The burning
ടീമിലെത്തിച്ച്‌	To the team
സോനം	Sonam
ഓര്‍മ്മയില്‍	In memory
മുഖാമുഖം	Face-to-face
തള്ളും	Pushing
ശരിക്കും	Oh really
അഭിപ്രായ	Comments
അഭ്യൂഹങ്ങളില്‍	In the rumors
ആരംഭിച്ചു	Started
കോണ്‍ഗ്രസിന്‍റെ	of the Congress
മേയ്ക്കപ്പ്	Makeup
മോ​​​​ഡ​​​​ല്‍	Model
നിക്ഷേപങ്ങള്‍ക്ക്	For investments
വ​ര്‍​ഷ​മാ​ക്കി	Made the year
നിരയില്‍	In column
പുതിയൊരു	A new one
അ​വ​ത​രി​പ്പി​ച്ചു	Introduced
കണ്ട	I saw it
ലോകമെമ്ബാടും	All over the world
പടുത്തുയര്‍ത്തി	Built up
സോള്‍	Sol
ചെരുപ്പ്	Shoes
ആഡംബരകാര്‍	Luxury cars
ക്യാമ്ബുകള്‍	Camps
പെനല്‍റ്റി	Penalty
സീനുകളിലൊന്ന്	One of the scenes
സമക്ഷം	Presence
പണിമുടക്കി	Strike
ആഫ്രിക്ജക്ക്‌	Afriqjak
പങ്കാളിത്തത്തില്‍	In partnership
സന്തോഷം	happiness
കലാപത്തിന്	For the rebellion
അടുത്തറിയാം	I know closely
ലോക്‌സഭാ	Lok Sabha
വീരന്മാര്‍	Heroes
മിനര്‍വ	Minerva
ടൊവിനോയുടെ	Tovino's
അര്‍ദ്ധ	Half
ബാറ്റ്	Bat
കിരീടമോഹവുമായി	With the crowning
തടത്തിലെ	in the basin
വര്‍ഷത്തിന്റെ	of the year
അന്ധാധുന്‍	Andhadhun
മുന്നില്‍കണ്ട്	Looking ahead
ഷാജോണ്‍	Shajon
കാര്‍ലോ	Carlo
സിറ്റി	City
എടുത്തിട്ട്	Taken and taken
വജ്ര	Diamond
തൊട്ടാല്‍	If you touch
മനോഹാരത്തിന്‍റെ	of the beauty of the
പ്രയാസമേറിയ	Difficult
അരങ്ങേറ്റത്തിന്	For the debut
സമ്ബ്രതി	Sambrati
ആശ്വാസം	Relief
സീരീസില്‍	In the series
രോഷത്തില്‍	In anger
കോടീശ്വരന്‍	Millionaire
മെസ്സിയും	And Messi
മാ​​​​റ്റി​​​​നി​​​​ര്‍​​​​ത്തി	Excluded
എന്തുകൊണ്ടാണ്	Why?
ഇനിയെന്ത്	What now
റാഞ്ചുമോ	Will the ranch
പദ്ധതികളുമായി	with plans
വച്ച്‌	in
കോലിപ്പടയ്ക്ക്	For the kolipada
വാര്‍ണര്‍ക്കും	And Warner, too.
ജ​​യി​​ക്കാ​​ന്‍	To win
യും	and
ആഴ്സണല്‍	Arsenal
മറികടക്കാനൊരുങ്ങി	Ready to overcome
ബാര്‍	Bar
ഗ്ലാ​മ​റ​സ്	Glamorous
ആ​ലു​ക്കാ​സ്	Alukkas
ക്രിസ്റ്റിയെ	Christy.
സംരക്ഷിക്കുന്നതിന്	To save
പച്ചക്കൊടി	Green Flag
വളാഞ്ചേരി	Valanchery
ബാന്‍ഡ്	Band
സമ്മാന്‍	Samman
വിമലിനെതിരേ	Against Vimal
സത്യരാജിന്റെ	Sathyaraj's
അമ്മായിയും	and my aunt.
അക്കാര്യം	That's it
ട്വിറ്ററിലും	and on Twitter.
ഉമ്മന്‍	Oommen
പരസ്യത്തിനെതിരെ	Against advertising
ഫ്രൈഡേ	Friday
പറയുന്നതിങ്ങനെ	That's what i'm saying
മരയ്ക്കാറെ	The tree
ഇവാനിയോസില്‍	In Ivanios
കെല്‍ട്രോണ്‍	Keltron
പറ്റില്ല	I can't.
ലോക്കല്‍	Local
കിടുക്കും	It's gonna be crazy
നാ​​മ​​നി​​ര്‍​​ദേ​​ശം	Nomination
ഉമസ്ഥാവകാശം	Right to Ownership
കോണ്‍ക്ലേവിന്	For the Conclave
നി​​​ങ്ങ​​​ള്‍	You
ഗംഭീര്‍	Gambhir
ബംഗളൂരുവിനെ	Bengaluru
പ്രേമകഥയുടെ	Of the love story
ആലിയയും	And Aaliya
എഴുതിയിരുന്നെങ്കില്‍	If it had been written
വിര്‍ക്കപ്പെടും	will be dispersed
എംബാപ്പെയും	and Mbappe
നിതിന്‍	Nitin
കുറ്റക്കാരനെന്നു	that he is guilty
ബസോസ്	Basos
പിന്‍മാറി	Backed off
വാ	Come on.
റെന്നെസ്	Rennes
നവ്യനായരുടെ	Navya Nair's
ലീഗുകാരുടെ	Of the Leagues
പരിക്കേറ്റ	injured
ഉല്പാദനങ്ങള്‍	Productions
രണ്ടുമാസത്തിനിടെ	Within two months
ടീമിലെത്തും	Will be on the team
നിന്നത്	It stopped
ദിവസം	day
പറ്റിയ	The best
വിമര്‍ശിക്കുന്നത്	Criticizing
മെനി	Meni
തെരഞ്ഞെടുക്കാം	Can be selected
സഹോദരന്‍	Brother
എയര്‍വേയ്‌സിന്റെ	Airways'
തനിക്കെതിരെ	against him
വിട്ടുവീഴ്ച	Compromise
പാസ്ബുക്ക്	Passbook
ടീച്ചറെ	The teacher
ഹര്‍ദിക്	Hardik
അന്ധാദൂന്‍	Andhadoon
വിജയരഹസ്യമെന്ന്	The secret of success
ടാക്സി	Taxi
പരമ്ബരയ്ക്ക്	For the series
അണികള്‍	Cadres
ഇന്റെര്‍മിലാന്	Inter Milan
ഈസ്റ്റിനെ	East
ദൂരം	distance
നേപ്പാളില്‍	In Nepal
ക​മ്ബ​നി	Company
നട്ട്പെ	Nutpe
മൊറട്ടോറിയം	Moratorium
ദര്‍ശനത്തിനെത്തിയ	Came for darshan
കുതിച്ച	Jumped
പലപ്പോഴും	Often
മാഡ്രിഡിനെ	Madrid
സീ​നി​യ​ര്‍	Senior
ഇടവേളയില്‍	In the break
അവന്‍	He's
വിപണികളിലേക്ക്	To the markets
ഒന്നിച്ച്‌	together
കപ്പേ	Kappe
മാനെയുടെ	Mane's
തരൂരിനെക്കാള്‍	More than Tharoor
ഏകദിനങ്ങള്‍ക്ക്	For the ODIs
നോട്ട്	Note
ധരിക്കുന്നുവെങ്കില്‍	If you wear
ഹമ്മറിലേക്ക്	To the Hummer
ആരാധകന്റെ	The fan's
ത്രസിപ്പിക്കാന്‍	To thrill
ഡിവിഷനില്‍	In the division
പോസ്സ്	Pose
ആദ്യ	The first
ഡേറ്റ്	Date
രൂപയായി	in rupees
റെന്നെസില്‍	In Rennes
സ്കോളര്‍ഷിപ്പ	Scholarships
വിട്ടുവീഴ്ച്ചയില്ലാതെ	Without compromising
മന്ഥാന	Manthana
സെലിബ്രിറ്റികള്‍ക്ക്	For celebrities
വെര്‍മന്‍	Verman
ചുളിക്കുന്നവര്‍	Those who wrinkle
