ચોર્યો	The thief
300થી	From 300
શાઓમી	Xiaomi
ઈન્ડસ્ટ્રીએ	The industry
ઘડીમાં	In the clock
એનિવર્સરીએ	Anniversary
બૂકિંગ	Bookings
2000થી	Since 2000
ટ્રોલ	Troll
વેઇટર	Waiter
ઘટાડોઃ	Decrease:
વીડિયો	Video
શૅરબજારની	of the stock market
ઉત્સવ	celebration
ફિટનેસનો	of fitness
હિરાજડિત	Hirajdit
સંપત્તી	Property
કપિલની	Kapil's
કાશ્મીરના	Kashmir
દહેગામની	Dahegam's
ફ્લર્ટીંગ	Flirting
પ્રિનાં	Prina
બાયોપિક	Biopic
2ની	Of 2
રિવર્સ	Rivers
તત્કાલ	immediately
સસ્પેન્સથી	from suspense
કેન્દ્રની	Centre
સંમેલન	Conference
જડેલી	Attached
સેક્સુઅલ	Sexual
મહાજને	Mahajan
વાયરસ	Virus
વિચિત્ર	odd
શોખે	Hobby
યૂનિસેફની	Unicef's
અક્ષયની	Akshay's
ઉત્તરાધિકારી	Successor
ચૈપલિનને	To Chaplin
મર્ડર	Murder
લોનથી	by loan
કપાસ	Cotton
હસીનાઓ	Hasinas
બગાડ	Waste
જુલાઇથી	From July
પવિત્રતા	Holiness
સ્મિતા	Smita
સૈફ	Saif
9ના	of 9
નામનો	Name
આંક	Figures
શિવગામી	Sivagami
પ્લાન	Plan
વર્ગને	to class
સાસ	Saas
ફ્રિ	Free
કપિલદેવ	Kapil Dev
ચહેરાને	to the face
શર્લિન	Sherlyn
અક્ષરા	Akshara
વ્યાવસાયિકો	Professionals
અર્થતંત્રઃ	Economy:
ઉપરાંત	Plus
રૂપરંગમાં	In form
આપી	Given
ભૂકંપ	Earthquake
ઇમેજને	to the image
મેડમ	Ma'am
આનંદો	Joys
રાહુલની	Rahul's
માન્યું	believed
કમર	waist
સસરા	Father-in-law
ચેનલ	Channel
2016ની	of 2016
બીમારી	Illness
ઇલયાનાની	Ilayana's
શરૂ	Start
વાગ્યા	it's time
સ્ટોરેજ	Storage
લાઇનો	Lines
હૉટ	Hot
ગવર્નરનો	Governor's
કોર્સથી	From the course
દત્તા	Dutta
ચિંતા	concern
ડર્યા	Scared
કાતિલાના	Katilana
જામીન	bail
ફોર્બ્સના	Of Forbes
મંગાવી	Ordered
ડોલરના	Dollar
કાતિલ	Qatil
થઈને	by
સટાસટ	Satasat
ભવ્ય	gorgeous
જાય	goes
લગભગ	about
પાસવર્ડ	Password
અનન્યાને	Ananya
પોતાનો	own
ખુબસુરત	Beautiful
ગૂગલની	Of Google
જલેબી	Jalebi
ઉમંગ	Umang
શકાય	Can be
કોમ્પ્યુટરને	to the computer
કડકભૂસ	harsh
અફવાનું	Rumors
કઇ	Which
તૂટ્યો	Broken
છવાયો	covered
લવલાઈફને	To LoveLife
પ્રુફ	Proof
બાળકોનું	children's
સખીયાની	Sakhiani
યુવતીની	of the girl
સેલિબ્રિટીઝ	Celebrities
નાણામંત્રીની	Finance Minister's
એક્સપર્ટ	Expert
નાસ્તો	breakfast
દાયકામાં	in the decade
મજા	Fun
સુધારવા	To improve
રેમ	Ram
કોન્કલેવમાં	At the conclave
અટેક	Attack
તુટયો	broken
જુવો	Look at
ભાભીનો	Sister-in-law's
સેમસંગનો	Samsung's
છેલ્લો	Last
પાવર	Power
અબૂ	Abu
આઇપેડ	iPad
રિદાનની	Ridan's
મલાઇકા	Malaika
દેવગનની	Devgan's
કુરીયરથી	From courier
સ્પોર્ટી	Sporty
જાણવો	Know
વધારો	Increase
જાન્યુઆરીમાં	In January
સુધારાને	To update
અચકાયો	hesitated
મિથુનનાં	Mithun's
શિવસેનાએ	Shiv Sena
ચોપડાએ	Chopra
દેશ	country
કાલી	Kali
આગની	of fire
ચાવલાએ	Chawla
ડાઉ	Dow
લીટરે	Literre
બહેને	Sister
બહુનાં	Too many
રેકોર્ડ	Record
વાઇરલ	Viral
શાહરુખે	Shah Rukh
હોવો	To be
રૂપાણી	Rupani
કર્મચારી	Employees
અમેરિકી	American
ગર્લફ્રેન્ડે	girlfriend
ઝડપે	Fast
વાંચજો	Read
માશૂકાને	Mashukane
કુસ્તી	Wrestling
તબક્કો	Stage
સર્વેક્ષણ	Survey
ઉતર્યા	landed
દેખ	Look at
દત્તાને	To Datta
હોટલ્સમાંથી	From hotels
મજબૂરી	forced
ગ્રેચ્યુઇટીમાં	In gratuity
ખંખેરી	Khakhri
માપી	Measured
બેંકોને	to the banks
મૂક્યો	placed
ઊભી	Standing
ત્રિપુર	Tripura
બીજા	Other
તરસ્યા	thirsty
હોઈ	Be
જોઈ	Viewed
શેયર	Shares
જોડીઓને	Pairs
ન્યૂઝ	News
યુનિક	Unique
મહિલાઓનું	of women
મચ્છરોએ	Mosquitoes
ચૂંટણીકાર્ડમાં	In the election card
ફેન્સના	fans
કાપડિયાનો	Kapadia's
ચોકીદાર	Watchman
399ના	Of 399
બિલમાં	in the bill
થોડો	A little
બીમારીમાં	In illness
અફલાતૂન	Aflatoon
થાપણદારોના	of the depositors
દગો	Cheating
પાકની	of the crop
હવામા	in the air
51મો	51st
કાઉન્સિલની	Of the Council
મહિનાના	monthly
ઇશારામાં	In gesture
અર્પણ	Offering
સજાવાયો	Punished
એપ્લાઇ	Appli
વેંચાઈ	Sold
જ્યાં	where
મુલાકાત	Visit
વેડફાય	Weedaway
પ્રપોઝ	Propose
છેતરપિંડીનો	fraud
નવેમ્બરના	November
ઇન્ટેલિજન્સ	Intelligence
પંડિત	pundit
વિરોધમાં	in protest
બેક	Back
સમસ્યામાં	in problem
પરિસ્થિતિને	the situation
આઇએએસ	IAS
10180ની	10180
વ્યક્તિઓના	individuals
દર	Rate
પુરસ્કાર	Awards
થવાથી	being
ફેસબૂકને	To Facebook
સુનાવણી	Hearing
સેલિબ્રિટીઝનાં	Of celebrities
નિયમો	Rules
બાસુનો	Basu's
જબરદસ્ત	Tremendous
સોનુ	Sonu
વિદેશથી	from abroad
હડતાળથી	from the strike
કરોડમાં	in crores
વટાવશે	will cross
ચર્ચામાં	In the discussion
હેડ	Head
બોલીવૂડને	To Bollywood
રાષ્ટ્રપતિથી	From the President
જોડી	Pair
ફિલ્મમાં	In the film
આશ્ચર્યમાં	In surprise
પીઠી	Pithi
એવોર્ડ્સમાં	At the awards
શોનાં	Of the show
ચેરમેનના	Chairman's
બ્રિટેન	Britain
એનાયત	Awarded
સુંદરીઓનો	of beauties
7800ની	7800
ખતરાના	of danger
અમિતાભ	Amitabh
કેટલાક	Some
કોચના	Coach's
થાકી	Tired
ઇવેન્ટમાં	At the event
કેશબેક	Cashback
કર્ણાટકમાં	In Karnataka
તોફાની	Stormy
તસવીરોથી	from pictures
બીચ	Beach
સિલિન્ડરનાં	of cylinder
સ્કિમથી	From the scheme
2018ને	To 2018
ફેઇમ	Fame
માલિકને	to the owner
હિન્દોસ્તાન	Hindustan
ટર્નઓવરને	turnover
બેડી	Baddie
લખાયેલી	Written
ફિલ્મ્સમાં	In Films
શરણાઈ	Refuge
મહિનો	month
ટચસ્ક્રિનની	of touchscreen
દોઢ	One and a half
શિલ્પાથી	From Shilpa
શેટ્ટીનાં	Shetty's
તેલમાં	In oil
સોનેરી	Golden
છપ્પન	Chhappan
મહિલાઓને	to women
ચાર્જ	Charge
પ્રમાણે	As per
ડબ્બાની	Binney
દિવ્યાંગો	Divyangs
અમેરિકાથી	from The United States
પટેલને	Patel
એશિયન	Asian
ઑફ	Off
કરવાથી	By doing
કાલ	Tomorrow
લીલા	Green
અહીથી	From here
લઇને	Take
ઓનલોકેશનની	of onlocation
જરૂરિયાતની	of need
નાચી	Dancing
શોષણમાં	In exploitation
ઇઝ	Is
ભાર	Load
વર્ષે	Year after year
27500ની	27500
માથે	On the head
ઈઝ	Is
સોંગ	Song
રેડ	Red
ભેટઃ	Gift:
1લી	1st
પ્રોજેક્ટ	Project
જીતેન્દ્ર	Jitendra
વિગતો	Details
રાયે	Raye
લેસ	Les
ફોટો	Photo
જામનગરમાં	in Jamnagar
ગગડતા	grumbling
ભાડાનું	Of Rent
સિંહનો	of the lion
મીડિયા	Media
ફોને	Phone
વિનિતા	Vinita
ગુડી	Goody
પરફોર્મન્સ	Performance
એરલાઇન્સ	Airlines
અમાયરા	Amyra
જગ્યાએ	in place
રાઇડ	Ride
ધૂપિયાના	Dhupiyana
કરનારના	of the doer
આશ્વાસન	Reassurance
વાપીમાં	In Vapi
સ્મોલ	Small
કમાન્ડોની	commandos
મોમા	Moma
રાજકપૂરની	Of Raj Kapoor
લીયોનીનો	Leoni's
ગ્રીન	Green
સપાટીએ	on the surface
થનારા	To be
કેવો	How about
ઝાંસી	Jhansi
છોડવાની	Quitting
ખેતીથી	From agriculture
વોચ	Watch
પાછળ	behind
બનાવાયા	Created
આસમાની	Asmani
ભપોમ	Bhapom
સ્કિમમાં	in the scheme
ખુબસૂરત	Beautiful
કંકોતરી	Kankotri
મમ્મી	Mom
તન્નાનો	Tanna's
મિત્રોને	To friends
મદદ	Help
ડૅટા	Data
બેંકમાં	In the bank
તમારું	your
ગર્લફ્રેન્ડને	To the girlfriend
પ્રેગ્નેન્સીનાં	of pregnancy
નહીંતો	otherwise
બંદિગીએ	Bandigi
પ્રિયંકાની	Priyanka's
અકબર	Akbar
યુનિવર્સિટીએ	The University
કપિલનું	Kapil's
તને	You
હવાઇ	Hawaii
પીહૂ	Pihu
ટ્રંપ	Trump
હદો	Boundaries
એક્સપોર્ટ	Export
નુડલ્સમાં	In noodles
મોડલે	In the model
ઇશાન	Ishan
ભળકોઃ	Mix:
છવાઇ	Chhawai
ઝકરબર્ગને	To Zuckerberg
વિક્રમ	Vikram
સ્ટાફનું	of the staff
ઉદ્યોગો	Industries
વિરોધઃ	Protest:
2018નાં	Of 2018
ઘડ્યો	Created
હાર્ડવેર	Hardware
પૈસાની	Money
નવાબ	Nawab
મતભેદ	Differences of opinion
સ્માર્ટફોનનો	of the smartphone
પડાપડી	padapadi
લિડ	Lead
ભરો	Fill out
આકાશ	sky
શર્ટમાં	In shirt
લુલિયા	Iulia
રાતનું	of the night
ભૂજમાં	in Bhuj
મારુતિની	Maruti's
ખિતાબ	Title
વેચશે	will sell
હાથી	elephant
શિબાની	Shibani
નવેમ્બરે	November
સુનીલ	Sunil
રહેલી	Remaining
પ્રોડ્યુસરનાં	Producer's
અબજપતિ	billionaire
મોટરસાઈકલનું	of a motorcycle
મેલ	Mail
ટોલનાકું	Tolnaku
પુત્રીએ	the daughter
મુસાફરોને	to passengers
પાદુકોણે	Padukone
ગયા	gone
અંતરિક્ષની	of space
અન્ડર	Under
જલાવી	Burning
રોઈ	Roi
ભવન	Bhavan
કંગનાએ	Kangana
પાર્થિવ	Parthiv
જાજરમાન	Jajarman
ટ્રેન્ડ	Trend
પ્રિયંકાએ	Priyanka
કુમકુમ	Kumkum
ઈમેજ	Image
જીતમાં	In victory
અનિશ્ચિત	Uncertain
વ્યય	Expenses
બોલશો	Speak up
ચેનલોના	of channels
મહેતાનું	Mehta's
જેક્લિન	Jacqueline
ઇરફાનને	To Irrfan
યૂઝર્સની	of the users
અટકી	Paused
ઈન્ડિયા	India
હડતાળમાં	In strike
વેપારીઓની	of the traders
વઘારે	Vaghare
આડેધડ	Awkward
આવાસ	Housing
ફર્યો	Turned around
5મી	5th
અનિલ	Anil
વસ્તુ	object
એરની	Airney
રોકા	Roka
પહેરવામાં	To wear
લગાવવા	To install
જોડે	with
હુડ્ડા	Hooda
ધમાલ	Dhamaal
2018ના	Of 2018
ભાગ્ય	Luck
1974માં	In 1974
સદીઓથી	over the centuries
આવ્યાં	came
લુકે	Luke
જેથી	So that
ચૂક્યા	have already
કપાળે	On the forehead
પાર્ટનરશિપ	Partnership
ટાયરવાળી	tiered
ચીજ	Thing
નવ્યા	Navya
બોય	Boy
વિકૃત	Deformed
કહીં	said
ફિલ્મે	Film
પોસ્ટપેડની	Of postpaid
અચ્છે	Achche
પેટ્રોલિયમ	Petroleum
વ્યાજદરોમાં	In interest rates
